"Id","Id2","Geography","Percent Under 5","Percent Over 65","Hispanic","Below Poverty"
"1500000US510030101001","5.1003E+11","Block Group 1, Census Tract 101, Albemarle County, Virginia","3.223033949","25.26858616","1.547056296","6.279620853"
"1500000US510030101002","5.1003E+11","Block Group 2, Census Tract 101, Albemarle County, Virginia","2.657807309","16.41196013","0.332225914","13.02816901"
"1500000US510030101003","5.1003E+11","Block Group 3, Census Tract 101, Albemarle County, Virginia","5.393000574","16.63798049","0.975329891","2.455661664"
"1500000US510030102011","5.1003E+11","Block Group 1, Census Tract 102.01, Albemarle County, Virginia","4.074315515","14.70013038","13.68970013","4.079696395"
"1500000US510030102012","5.1003E+11","Block Group 2, Census Tract 102.01, Albemarle County, Virginia","4.680851064","19.02735562","2.978723404","5.572289157"
"1500000US510030102021","5.1003E+11","Block Group 1, Census Tract 102.02, Albemarle County, Virginia","7.514088917","16.46837821","1.878522229","2.044293015"
"1500000US510030102022","5.1003E+11","Block Group 2, Census Tract 102.02, Albemarle County, Virginia","6.045949214","25.21160822","8.706166868","11.11111111"
"1500000US510030103001","5.1003E+11","Block Group 1, Census Tract 103, Albemarle County, Virginia","3.96893874","11.47540984","2.761000863","0"
"1500000US510030103002","5.1003E+11","Block Group 2, Census Tract 103, Albemarle County, Virginia","8.493427705","24.06471183","14.25682508","9.85915493"
"1500000US510030103003","5.1003E+11","Block Group 3, Census Tract 103, Albemarle County, Virginia","14.95624503","4.136833731","0.875099443","4.732510288"
"1500000US510030103004","5.1003E+11","Block Group 4, Census Tract 103, Albemarle County, Virginia","7.757757758","11.11111111","10.06006006","1.892744479"
"1500000US510030103005","5.1003E+11","Block Group 5, Census Tract 103, Albemarle County, Virginia","11.64139161","11.59678858","0","8.870967742"
"1500000US510030104011","5.1003E+11","Block Group 1, Census Tract 104.01, Albemarle County, Virginia","6.911551474","13.96810053","0","3.241296519"
"1500000US510030104012","5.1003E+11","Block Group 2, Census Tract 104.01, Albemarle County, Virginia","8.602150538","26.25448029","0","1.754385965"
"1500000US510030104013","5.1003E+11","Block Group 3, Census Tract 104.01, Albemarle County, Virginia","4.979253112","31.86721992","0.165975104","9.671532847"
"1500000US510030104021","5.1003E+11","Block Group 1, Census Tract 104.02, Albemarle County, Virginia","7.169811321","17.98742138","4.905660377","10.91445428"
"1500000US510030104022","5.1003E+11","Block Group 2, Census Tract 104.02, Albemarle County, Virginia","2.231947484","32.25382932","3.150984683","6.827731092"
"1500000US510030105001","5.1003E+11","Block Group 1, Census Tract 105, Albemarle County, Virginia","3.203661327","17.6201373","3.775743707","7.865168539"
"1500000US510030105002","5.1003E+11","Block Group 2, Census Tract 105, Albemarle County, Virginia","6.944444444","31.67211329","0","1.037613489"
"1500000US510030105003","5.1003E+11","Block Group 3, Census Tract 105, Albemarle County, Virginia","8.729139923","24.00513479","0","4.063205418"
"1500000US510030106011","5.1003E+11","Block Group 1, Census Tract 106.01, Albemarle County, Virginia","0","26.30834512","0","0"
"1500000US510030106012","5.1003E+11","Block Group 2, Census Tract 106.01, Albemarle County, Virginia","7.309845242","14.45505433","3.457359236","24.9070632"
"1500000US510030106013","5.1003E+11","Block Group 3, Census Tract 106.01, Albemarle County, Virginia","2.469670711","26.12651646","3.206239168","10.38525963"
"1500000US510030106021","5.1003E+11","Block Group 1, Census Tract 106.02, Albemarle County, Virginia","6.675567423","16.77792612","1.379617267","2.697095436"
"1500000US510030106022","5.1003E+11","Block Group 2, Census Tract 106.02, Albemarle County, Virginia","6.609642302","18.97356143","2.799377916","14.64285714"
"1500000US510030107001","5.1003E+11","Block Group 1, Census Tract 107, Albemarle County, Virginia","2.845528455","31.09756098","6.199186992","10.91811414"
"1500000US510030107002","5.1003E+11","Block Group 2, Census Tract 107, Albemarle County, Virginia","4.349927501","6.669888835","24.26292895","1.284796574"
