OBJECTID,BIN,ST_NUMBER,ST_UNIT,UNIT_TYPE,PREDIR,ST_NAME,SUFFIX,POSTDIR,ZIP,STSEGID,USE_TYPE,created_user,created_date,last_edited_user,last_edited_date,MasterAddressID
2666,680722036,107,4,#,W,MAIN,ST, ,22902, , ,,,PFAUTZ,2016-11-28T17:23:00.000Z,50873
2679,66681755,113,205,#,W,MAIN,ST, ,22902, , ,,,PFAUTZ,2016-11-28T17:23:00.000Z,50874
2680,66681755,113,204,#,W,MAIN,ST, ,22902, , ,,,PFAUTZ,2016-11-28T17:23:00.000Z,50875
2686,587116605,1306,B,#, ,WERTLAND,ST, ,22903, ,R,,,PFAUTZ,2016-11-28T17:22:59.000Z,50876
2813,13937149,428,203,#, ,MONROE,LN, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:00.000Z,50880
2814,13937149,428,204,#, ,MONROE,LN, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:00.000Z,50881
2008,8020992,1821,7,#, ,JEFFERSON PARK,AVE, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:02.000Z,50720
2016,320313813,1033,1/2,#, ,LOCUST,AVE, ,22901, ,R,,,PFAUTZ,2016-11-28T17:23:02.000Z,50721
2023,605316778,415,1,#, ,2ND,ST,NE,22902, ,R,,,PFAUTZ,2016-11-28T17:23:02.000Z,50723
2030,195312410,1608,1/2,#, ,OXFORD,RD, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:02.000Z,50725
2032,86309186,1413,B,#, ,SHORT 18TH,ST, ,22902, ,R,,,PFAUTZ,2016-11-28T17:23:02.000Z,50727
2034,99711080,1243,B7,#, ,CEDARS,CT, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:00.000Z,50728
2038,596916712,440,B,#, ,2ND,ST,NE,22902, ,R,,,PFAUTZ,2016-11-28T17:23:02.000Z,50730
2040,626116921,508,2,#, ,7TH,ST,NE,22902, ,R,,,PFAUTZ,2016-11-28T17:23:01.000Z,50732
2041,1013120017,1518,102,#,E,MARKET,ST, ,22902, ,R,,,PFAUTZ,2016-11-28T17:23:02.000Z,50733
2045,357814305,762,B,#, ,MADISON,AVE, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:02.000Z,50734
2047,33517170,1924,1,#, ,SWANSON,DR, ,22901, ,R,,,PFAUTZ,2016-11-28T17:23:02.000Z,50735
2051,388214567,921,1,#, ,HENRY,AVE, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:00.000Z,50737
2053,367514279,604,A,#, ,15TH,ST,NW,22903, ,R,,,PFAUTZ,2016-11-28T17:23:02.000Z,50739
2054,90379369,216,A,#, ,DOUGLAS,AVE, ,22902, ,R,,,PFAUTZ,2016-11-28T17:23:02.000Z,50740
2063,88691567,205,A,#, ,SHAMROCK,RD, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:02.000Z,50741
2064,129256261,2709,B,#, ,ETON,RD, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:02.000Z,50742
2071,104473218,235,A,#, ,STRIBLING,AVE, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:02.000Z,50744
2072,99442589,111,B,#, ,RAYMOND,AVE, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:02.000Z,50745
2171,542616142,911,B,#, ,PAOLI,ST, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:02.000Z,50760
2180,357814149,728,B,#, ,MADISON,AVE, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:02.000Z,50761
2181,357814149,726,C,#, ,MADISON,AVE, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:02.000Z,50762
2193,299313611,611,215,#, ,RUGBY,RD, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:02.000Z,50763
2212,107803496,2411,A,#, ,SUNSET,RD, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:02.000Z,50764
2213,102012777,108,B,#, ,RAYMOND,AVE, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:02.000Z,50765
2006,7671708,1800,22,UNIT, ,JEFFERSON PARK,AVE, ,22903, ,R,,,,,2006
2062,133336715,230,B,APT, ,OLD LYNCHBURG,RD, ,22903, ,R,,,,,2062
2346,46237889,1217,A,APT, ,RIVER VISTA,AVE, ,22901, ,R,,,,,2346
2354,46487892,1219,B,APT, ,RIVER VISTA,AVE, ,22901, ,R,,,,,2354
2504,7881935,1800,705,UNIT, ,JEFFERSON PARK,AVE, ,22903, ,R,,,,,2504
2507,7881935,1800,611,UNIT, ,JEFFERSON PARK,AVE, ,22903, ,R,,,,,2507
2798,511415801,748,, , ,LEXINGTON,AVE, ,22902, ,R,,,,,2798
2799,514115892,673,, , ,EVERGREEN,AVE, ,22902, ,R,,,,,2799
2800,518915875,741,, , ,LEXINGTON,AVE, ,22902, ,R,,,,,2800
2801,520515938,661,, , ,EVERGREEN,AVE, ,22902, ,R,,,,,2801
2802,521115884,744,, , ,LEXINGTON,AVE, ,22902, ,R,,,,,2802
2803,19310013,2308,, , ,BANBURY,ST, ,22901, ,R,,,,,2803
2804,20610038,2309,, , ,BANBURY,ST, ,22901, ,R,,,,,2804
2805,126815984,1115,, , ,ALTAVISTA,AVE, ,22902, ,R,,,,,2805
2806,126855970,1000,, , ,DRUID,AVE, ,22902, ,R,,,,,2806
2807,127156023,1017,, , ,DRUID,AVE, ,22902, ,R,,,,,2807
2808,523215923,739,, , ,LEXINGTON,AVE, ,22902, ,R,,,,,2808
2809,530115980,740,, , ,LEXINGTON,AVE, ,22902, ,R,,,,,2809
2810,530816013,638,, , ,EVERGREEN,AVE, ,22902, ,R,,,,,2810
2811,536416049,670,, , ,EVERGREEN,AVE, ,22902, ,R,,,,,2811
2812,537416077,660,, , ,EVERGREEN,AVE, ,22902, ,R,,,,,2812
2817,107773499,1106,, , ,RAYON,ST, ,22902, ,R,,,,,2817
2818,108713649,1105,, , ,6TH,ST,SE,22902, ,R,,,,,2818
2819,111424016,1100,, , ,AVON,ST, ,22902, ,R,,,,,2819
2820,111524053,1107,, , ,AVON,ST, ,22902, ,R,,,,,2820
2821,139289027,808,, , ,LYMAN,ST, ,22902, ,R,,,,,2821
2822,107983527,808,, , ,RIDGE,ST, ,22902, ,R,,,,,2822
2823,108123539,815,, , ,RIDGE,ST, ,22902, ,R,,,,,2823
2824,121465335,1408,, , ,HAMPTON,ST, ,22902, ,R,,,,,2824
2826,111804154,837,, , ,RIDGE,ST, ,22902, ,R,,,,,2826
2827,112004241,839,, , ,RIDGE,ST, ,22902, ,R,,,,,2827
2829,118234953,1312,, , ,EARLY,ST, ,22902, ,R,,,,,2829
2830,279413382,1216,, , ,AUGUSTA,ST, ,22903, ,R,,,,,2830
2831,294113546,1213,, , ,AUGUSTA,ST, ,22903, ,R,,,,,2831
2832,294413543,1206,, , ,AUGUSTA,ST, ,22903, ,R,,,,,2832
2833,307813713,1519,, , ,AMHERST,ST, ,22903, ,R,,,,,2833
2834,308013729,1515,, , ,AMHERST,ST, ,22903, ,R,,,,,2834
2007,179812130,1932,7,#, ,ARLINGTON,BLVD, ,22903, ,C,,,PFAUTZ,2016-11-28T17:23:26.000Z,50719
2048,70910707,2114,106,#, ,ANGUS,RD, ,22901, ,C,,,PFAUTZ,2016-11-28T17:23:27.000Z,50736
2148,179812130,1932,119,#, ,ARLINGTON,BLVD, ,22903, ,C,,,PFAUTZ,2016-11-28T17:23:27.000Z,50758
2242,70233279,406,102B,#,E,MARKET,ST, ,22902, , ,,,PFAUTZ,2016-11-28T17:23:22.000Z,50776
2009,83631295,1904,26,APT, ,JEFFERSON PARK,AVE, ,22903, ,R,,,,,2009
2133,141893081,131,, , ,FRANKLIN,ST, ,22902, ,C,,,,,2133
2339,99962570,719,4,APT, ,RIDGE,ST, ,22902, ,R,,,,,2339
2445,7605635,106,5,APT, ,MONTEBELLO,CIR, ,22903, ,R,,,,,2445
2502,83631295,1904,14,APT, ,JEFFERSON PARK,AVE, ,22903, ,R,,,,,2502
2319,81131036,1018,, , ,CHERRY,AVE, ,22903, ,R,,,,,2319
2223,278513376,600,, , ,WILDER,DR, ,22901, ,R,,,,,2223
2497,393214615,1110,, , ,FOREST,ST, ,22903, ,C,,,,,2497
2492,24610061,2306,, , ,TARLETON,DR, ,22901, ,R,,,,,2492
2493,285313473,1620,, , ,HARDWOOD,AVE, ,22903, ,R,,,,,2493
2494,148711698,1410,, , ,GENTRY,LN, ,22903, ,R,,,,,2494
2495,432515033,1012,, , ,GRADY,AVE, ,22903, ,R,,,,,2495
2496,591716655,801,, , ,PAGE,ST, ,22903, ,R,,,,,2496
2815,13937149,428,306,#, ,MONROE,LN, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:00.000Z,50882
2816,13937149,428,307,#, ,MONROE,LN, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:00.000Z,50883
2835,315213748,1618,, , ,AMHERST,ST, ,22903, ,R,,,,,2835
2210,102693188,128,A,APT, ,STRIBLING,AVE, ,22903, ,R,,,,,2210
2211,99732618,127,B,APT, ,STRIBLING,AVE, ,22903, ,R,,,,,2211
2595,110273917,1303,B,APT, ,MIDLAND,ST, ,22902, ,R,,,,,2595
2719,430315004,1060,, , ,GRADY,AVE, ,22903, ,R,,,,,2719
2953,1412016325,218,112,APT, ,14TH,ST,NW,22903, ,R,,,,,2953
2954,1412016325,218,405,APT, ,14TH,ST,NW,22903, ,R,,,,,2954
2955,1412016325,218,406,APT, ,14TH,ST,NW,22903, ,R,,,,,2955
2956,1412016229,216,2,APT, ,14TH,ST,NW,22903, ,R,,,,,2956
2957,1412016229,216,301,APT, ,14TH,ST,NW,22903, ,R,,,,,2957
2598,123115371,104,, , ,DANBURY,CT, ,22902, ,R,,,,,2598
2599,139269048,201,, , ,DOUGLAS,AVE, ,22902, ,R,,,,,2599
2608,258013161,701,, , ,DELL,LN, ,22901, ,R,,,,,2608
2612,141997586,1022,, , ,LOCUST,AVE, ,22901, ,R,,,,,2612
2613,84941317,525,, , ,7 1/2,ST,SW ,22903, ,R,,,,,2613
2614,81951086,412,, , ,OAK,ST, ,22903, ,R,,,,,2614
2616,6648121,104,,, ,OAKHURST,CIR, ,22903, ,R,,,PFAUTZ,2016-04-04T20:03:41.000Z,2616
2620,130476390,914,, , ,NASSAU,ST, ,22902, ,R,,,,,2620
2621,319613806,1610,, , ,AMHERST,ST, ,22903, ,R,,,,,2621
2622,326513868,1518,, , ,AMHERST,ST, ,22903, ,R,,,,,2622
2626,92231875,243,, , ,SHAMROCK,RD, ,22903, ,R,,,,,2626
2627,81691069,129,, , ,OBSERVATORY,AVE, ,22903, ,R,,,,,2627
2628,81711124,113,, , ,WASHINGTON,AVE, ,22903, ,R,,,,,2628
2629,119905149,916,, , ,ELLIOTT,AVE, ,22902, ,R,,,,,2629
2630,120435192,818,, , ,ALTAVISTA,AVE, ,22902, ,R,,,,,2630
2631,120445246,807,, , ,DRUID,AVE, ,22902, ,R,,,,,2631
2632,411814860,701,, , ,LYONS,AVE, ,22902, ,R,,,,,2632
2633,432715053,740,, , ,LYONS,AVE, ,22902, ,R,,,,,2633
2634,462417309,878,, , ,LOCUST,AVE, ,22902, ,R,,,,,2634
2635,464515424,867,, , ,LOCUST,AVE, ,22902, ,R,,,,,2635
2636,120545214,1100,, , ,MONTROSE,AVE, ,22902, ,R,,,,,2636
2638,91529437,221,, , ,SPRUCE,ST, ,22902, ,R,,,,,2638
2693,407014760,908,, , ,ST CHARLES,AVE, ,22901, ,R,,,,,2693
2694,41897766,1215,, , ,ST GEORGE,AVE, ,22901, ,R,,,,,2694
2696,1739969,2315,, , ,TARLETON,DR, ,22901, ,R,,,,,2696
2697,1799983,2411,, , ,BROOK,RD, ,22901, ,R,,,,,2697
2698,18910001,2226,, , ,GREENBRIER,DR, ,22901, ,R,,,,,2698
2699,1929999,2412,, , ,KERRY,LN, ,22901, ,R,,,,,2699
2700,20310017,2221,, , ,GREENBRIER,DR, ,22901, ,R,,,,,2700
2701,20410020,2311,, , ,TARLETON,DR, ,22901, ,R,,,,,2701
2702,21810029,2508,, , ,HILLWOOD,PL, ,22901, ,R,,,,,2702
2703,21910033,2224,, , ,GREENBRIER,DR, ,22901, ,R,,,,,2703
2704,24210071,2515,, , ,HILLWOOD,PL, ,22901, ,R,,,,,2704
2705,24510063,2510,, , ,HILLWOOD,PL, ,22901, ,R,,,,,2705
2706,99152483,1606,, , ,MULBERRY,AVE, ,22903, ,R,,,,,2706
2707,99272513,1628,, , ,CENTER,AVE, ,22903, ,R,,,,,2707
2708,100242577,2310,, , ,CENTER,AVE, ,22903, ,R,,,,,2708
2709,283913465,1624,, , ,HARDWOOD,AVE, ,22903, ,R,,,,,2709
2713,148511695,1414,, , ,GENTRY,LN, ,22903, ,R,,,,,2713
2714,148611697,1412,, , ,GENTRY,LN, ,22903, ,R,,,,,2714
2715,151511740,1326,, , ,HILLTOP,RD, ,22903, ,R,,,,,2715
2716,410614841,1027,, , ,GRADY,AVE, ,22903, ,R,,,,,2716
2717,414714855,1307,, , ,GORDON,AVE, ,22903, ,R,,,,,2717
2718,428514999,1020,, , ,GRADY,AVE, ,22903, ,R,,,,,2718
2938,655996,100,,, ,OAKHURST,CIR, ,22903, ,R,,,PFAUTZ,2016-04-04T20:03:41.000Z,2938
2965,80898966,402,B,APT, ,FAIRWAY,AVE, ,22902, ,R,,,,,2965
2456,299313611,611,319,#, ,RUGBY,RD, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:32.000Z,50833
2457,299313611,611,320,#, ,RUGBY,RD, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:32.000Z,50834
2458,299313611,611,G18,#, ,RUGBY,RD, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:32.000Z,50835
2459,299313611,611,101,#, ,RUGBY,RD, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:32.000Z,50836
2461,376114377,1609,2,#, ,GORDON,AVE, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:32.000Z,50837
2474,173312029,1982,4,#, ,ARLINGTON,BLVD, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:32.000Z,50838
2475,173312029,1982,11,#, ,ARLINGTON,BLVD, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:32.000Z,50839
2479,109344104,924,D,#, ,1ST,ST,S,22902, ,R,,,PFAUTZ,2016-11-28T17:23:32.000Z,50840
2481,109343959,922,C,#, ,1ST,ST,S,22902, ,R,,,PFAUTZ,2016-11-28T17:23:32.000Z,50842
2505,83221214,114,A,#, ,CARROLLTON,TER, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:32.000Z,50843
2506,83221214,114,I,#, ,CARROLLTON,TER, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:32.000Z,50844
2514,117805032,2518,A,#, ,JEFFERSON PARK,AVE, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:32.000Z,50848
2536,82521155,1830,33,#, ,JEFFERSON PARK,AVE, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:32.000Z,50853
2537,83271235,107,B,#, ,WASHINGTON,AVE, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:32.000Z,50854
2658,116111304,1,100,#, ,MORTON,DR, ,22903, ,C,,,PFAUTZ,2016-11-28T17:23:32.000Z,50868
2659,116111304,1,101,#, ,MORTON,DR, ,22903, ,C,,,PFAUTZ,2016-11-28T17:23:32.000Z,50869
2687,38217174,2115,B,#, ,HYDRAULIC,RD, ,22901, ,C,,,PFAUTZ,2016-11-28T17:23:32.000Z,50877
2168,609216819,400,, ,W,HIGH,ST, ,22902, ,R,,,emerickr,2014-10-16T20:05:41.000Z,2168
2247,7436478,208,C,APT,W,SOUTH,ST, ,22902, ,R,,,emerickr,2014-10-16T20:05:42.000Z,2247
2248,7436478,208,D,APT,W,SOUTH,ST, ,22902, ,R,,,emerickr,2014-10-16T20:05:41.000Z,2248
2624,654517079,817,, ,W,MAIN,ST, ,22903, ,R,,,emerickr,2014-10-16T20:05:42.000Z,2624
2625,658417199,711,, ,W,MAIN,ST, ,22903, , ,,,emerickr,2014-10-16T20:05:42.000Z,2625
2676,163811922,2400,3,APT, ,ARLINGTON,BLVD, ,22903, ,R,,,,,2676
2677,163811922,2400,10,APT, ,ARLINGTON,BLVD, ,22903, ,R,,,,,2677
2678,163811922,2400,11,APT, ,ARLINGTON,BLVD, ,22903, ,R,,,,,2678
2689,119185141,1105,A,APT, ,MONTROSE,AVE, ,22902, ,R,,,,,2689
2065,150611723,2401,38,APT, ,ARLINGTON,BLVD, ,22903, ,R,,,,,2065
2066,150611723,2401,50,APT, ,ARLINGTON,BLVD, ,22903, ,R,,,,,2066
2227,150611723,2401,56,APT, ,ARLINGTON,BLVD, ,22903, ,R,,,,,2227
2334,150611772,2401,19,APT, ,ARLINGTON,BLVD, ,22903, ,R,,,,,2334
2335,150611723,2401,37,APT, ,ARLINGTON,BLVD, ,22903, ,R,,,,,2335
2336,150611723,2401,48,APT, ,ARLINGTON,BLVD, ,22903, ,R,,,,,2336
2337,150611723,2401,49,APT, ,ARLINGTON,BLVD, ,22903, ,R,,,,,2337
2513,126695945,103,A,APT, ,PARK,LN,W,22903, ,R,,,,,2513
2521,150611723,2401,39,APT, ,ARLINGTON,BLVD, ,22903, ,R,,,,,2521
2522,150611723,2401,51,APT, ,ARLINGTON,BLVD, ,22903, ,R,,,,,2522
2875,554416360,727,, , ,LOCUST,AVE, ,22902, ,R,,,,,2875
2876,134966949,109,, , ,CAMELLIA,DR, ,22903, ,R,,,,,2876
2877,134986950,516,, , ,MOSELEY,DR, ,22903, ,R,,,,,2877
2879,553316247,717,, , ,WEST,ST, ,22903, ,R,,,,,2879
2880,567416384,213,, , ,9TH,ST,NW,22903, ,R,,,,,2880
2881,575116497,711,, , ,ANDERSON,ST, ,22903, ,R,,,,,2881
2900,151911746,1621,, , ,GREENLEAF,LN, ,22903, ,R,,,,,2900
2901,152211748,1335,, , ,RUGBY,RD, ,22903, ,R,,,,,2901
2902,155011796,1623,, , ,BRUCE,AVE, ,22903, ,R,,,,,2902
2903,155111781,1705,, , ,BRUCE,AVE, ,22903, ,R,,,,,2903
2904,157911832,1312,, , ,HILLTOP,RD, ,22903, ,R,,,,,2904
2905,158111824,1615,, , ,GREENLEAF,LN, ,22903, ,R,,,,,2905
2906,68838564,1201,, , ,MERIWETHER,ST, ,22902, ,R,,,,,2906
2907,68858538,509,, , ,STEWART,ST, ,22902, ,R,,,,,2907
2908,95622202,2509,, , ,WESTERLY,AVE, ,22903, ,R,,,,,2908
2909,95712208,2507,, , ,WESTERLY,AVE, ,22903, ,R,,,,,2909
2910,96982461,121,, , ,STRIBLING,AVE, ,22903, ,R,,,,,2910
2067,91321779,2114,B,#, ,HILL,ST, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:06.000Z,50743
2238,645279,310,300,#, ,4TH,ST,NE,22902, , ,,,PFAUTZ,2016-11-28T17:23:06.000Z,50775
2245,71648674,1011,203,#,E,JEFFERSON,ST, ,22902, , ,,,PFAUTZ,2016-11-28T17:23:06.000Z,50777
2246,596916712,440,A,#, ,2ND,ST,NE,22902, ,R,,,PFAUTZ,2016-11-28T17:23:06.000Z,50778
2249,7640620,100,1,#,E,SOUTH,ST, ,22902, , ,,,PFAUTZ,2016-11-28T17:23:06.000Z,50779
2255,225812758,136,7,#, ,UNIVERSITY,GDNS,,22903, ,R,,,PFAUTZ,2016-11-28T17:23:06.000Z,50782
2257,371814329,507,4,#, ,16TH,ST,NW,22903, ,R,,,PFAUTZ,2016-11-28T17:23:06.000Z,50783
2259,1013120017,1518,101,#,E,MARKET,ST, ,22902, ,R,,,PFAUTZ,2016-11-28T17:23:06.000Z,50784
2260,1013120017,1518,204,#,E,MARKET,ST, ,22902, ,R,,,PFAUTZ,2016-11-28T17:23:06.000Z,50785
2270,357814231,714,B,#, ,MADISON,AVE, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:06.000Z,50787
2271,124045607,2603,A,#, ,JEFFERSON PARK,AVE, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:06.000Z,50788
2273,36610238,1920,2,#, ,SWANSON,DR, ,22901, ,R,,,PFAUTZ,2016-11-28T17:23:06.000Z,50789
2274,36610238,1920,6,#, ,SWANSON,DR, ,22901, ,R,,,PFAUTZ,2016-11-28T17:23:06.000Z,50790
2275,80010810,1718,C,#, ,HYDRAULIC,RD, ,22901, ,C,,,PFAUTZ,2016-11-28T17:23:06.000Z,50791
2276,36610238,1920,8,#, ,SWANSON,DR, ,22901, ,R,,,PFAUTZ,2016-11-28T17:23:06.000Z,50792
2284,109342934,900,A,#, ,1ST,ST,S,22902, ,R,,,PFAUTZ,2016-11-28T17:23:06.000Z,50794
